letón;español;ejemplo_letón;ejemplo_español
sveiki;hola (a varios o neutro);Sveiki! Kā jums iet?;¡Hola! ¿Cómo están?
labrīt;buenos días;Labrīt, kā tev iet?;Buenos días, ¿cómo estás?
labdien;buenas tardes (saludo de día);Labdien! Es esmu Marija.;Buenas tardes. Soy María.
labvakar;buenas noches (saludo);Labvakar! Lūdzu, ienāciet.;Buenas noches. Por favor, pasen.
ar labu nakti;buenas noches (despedida);Ar labu nakti, mīļā mamma.;Buenas noches, mamá querida.
uz redzēšanos;hasta luego (formal);Uz redzēšanos, paldies par sarunu!;¡Hasta luego, gracias por la conversación!
atā;chao (informal);Atā, līdz rītdienai!;¡Chao, hasta mañana!
paldies;gracias;Liels paldies par palīdzību.;Muchas gracias por la ayuda.
lūdzu;por favor / de nada;Lūdzu, runājiet lēnāk.;Por favor, hablen más despacio.
atvainojiet;perdón / disculpe (formal);Atvainojiet, kur ir tualete?;Disculpe, ¿dónde está el baño?
piedod;perdón (informal);Piedod, es kavējos.;Perdón, llego tarde.
jā;sí;Jā, es saprotu.;Sí, entiendo.
nē;no;Nē, es nezinu.;No, no sé.
varbūt;quizás;Varbūt rīt es atnākšu.;Quizás venga mañana.
labi;bien / vale;Man iet labi, paldies.;Me va bien, gracias.
slikti;mal;Man šodien iet slikti.;Hoy me va mal.
es;yo;Es esmu no Argentīnas.;Yo soy de Argentina.
tu;tú;Tu esi students?;¿Tú eres estudiante?
viņš;él;Viņš ir mans brālis.;Él es mi hermano.
viņa;ella;Viņa strādā slimnīcā.;Ella trabaja en el hospital.
mēs;nosotros;Mēs dzīvojam Rīgā.;Nosotros vivimos en Riga.
jūs;ustedes / vosotros / usted;Jūs runājat ļoti labi.;Ustedes hablan muy bien.
viņi;ellos;Viņi ir mani draugi.;Ellos son mis amigos.
viņas;ellas;Viņas mācās latviešu valodu.;Ellas estudian letón.
būt;ser / estar;Es gribu būt laimīgs.;Quiero ser feliz.
esmu;soy / estoy (yo);Es esmu inženieris.;Soy ingeniero.
esi;eres / estás (tú);Vai tu esi gatavs?;¿Estás listo?
ir;es / está (él/ella/ellos);Viņa ir mana māsa.;Ella es mi hermana.
esam;somos / estamos;Mēs esam šeit.;Estamos aquí.
esat;sois / están / es usted;Jūs esat ļoti laipns.;Usted es muy amable.
nav;no es / no está / no hay;Viņa nav mājās.;Ella no está en casa.
mani sauc;me llamo;Mani sauc Pedro.;Me llamo Pedro.
tevi sauc;te llamas;Kā tevi sauc?;¿Cómo te llamas?
no kurienes;de dónde;No kurienes tu esi?;¿De dónde eres?
kā tev iet;cómo estás;Kā tev iet šodien?;¿Cómo estás hoy?
kā jums iet;cómo está usted;Kā jums iet, kungs?;¿Cómo está usted, señor?
cik tev gadu;cuántos años tienes;Cik tev gadu?;¿Cuántos años tienes?
man ir … gadi;tengo … años;Man ir trīsdesmit gadi.;Tengo treinta años.
prieks iepazīties;encantado de conocerte;Prieks iepazīties, Anna!;¡Encantado de conocerte, Anna!
runāt;hablar;Vai tu runā angliski?;¿Hablas inglés?
saprast;entender;Es nesaprotu, lūdzu, atkārtojiet.;No entiendo, por favor repita.
zināt;saber;Es zinu, kur viņš dzīvo.;Sé dónde vive él.
mācīties;aprender / estudiar;Es mācos latviešu valodu.;Estoy aprendiendo letón.
strādāt;trabajar;Es strādāju birojā.;Trabajo en una oficina.
dzīvot;vivir;Mēs dzīvojam Latvijā.;Vivimos en Letonia.
iet;ir / caminar;Es eju uz darbu.;Voy al trabajo.
nākt;venir;Nāc šurp, lūdzu!;¡Ven aquí, por favor!
gribēt;querer;Es gribu kafiju.;Quiero un café.
varēt;poder;Es varu palīdzēt.;Puedo ayudar.
patikt;gustar;Man patīk Latvija.;Me gusta Letonia.
ģimene;familia;Mana ģimene ir liela.;Mi familia es grande.
māte;madre;Mana māte ir skolotāja.;Mi madre es profesora.
tēvs;padre;Mans tēvs ir ārsts.;Mi padre es médico.
brālis;hermano;Man ir divi brāļi.;Tengo dos hermanos.
māsa;hermana;Mana māsa dzīvo Liepājā.;Mi hermana vive en Liepāja.
dēls;hijo;Viņu dēls iet skolā.;Su hijo va a la escuela.
meita;hija;Mana meita ir maza.;Mi hija es pequeña.
vīrs;esposo / hombre;Viņas vīrs ir polis.;Su esposo es polaco.
sieva;esposa;Mana sieva ir ārste.;Mi esposa es médica.
draugs;amigo;Viņš ir mans labākais draugs.;Él es mi mejor amigo.
draudzene;amiga / novia;Mana draudzene runā latviski.;Mi amiga habla letón.
suns;perro;Man ir melns suns.;Tengo un perro negro.
kaķis;gato;Kaķis guļ uz dīvāna.;El gato duerme en el sofá.
māja;casa;Mana māja ir Rīgā.;Mi casa está en Riga.
darbs;trabajo;Man patīk mans darbs.;Me gusta mi trabajo.
skola;escuela;Bērni iet skolā.;Los niños van a la escuela.
students;estudiante (m);Es esmu students.;Soy estudiante.
studente;estudiante (f);Anna ir studente.;Anna es estudiante.
skolotājs;profesor;Skolotājs ir ļoti labs.;El profesor es muy bueno.
skolotāja;profesora;Mūsu skolotāja ir jauka.;Nuestra profesora es agradable.
ārsts;médico;Ārsts strādā slimnīcā.;El médico trabaja en el hospital.
inženieris;ingeniero;Mans tēvs ir inženieris.;Mi padre es ingeniero.
Latvija;Letonia;Latvija ir maza valsts.;Letonia es un país pequeño.
Spānija;España;Es esmu no Spānijas.;Soy de España.
Meksika;México;Viņa dzīvo Meksikā.;Ella vive en México.
valsts;país / estado;Latvija ir skaista valsts.;Letonia es un país hermoso.
pilsēta;ciudad;Rīga ir liela pilsēta.;Riga es una ciudad grande.
viens;uno;Man ir viens brālis.;Tengo un hermano.
divi;dos;Man ir divi suņi.;Tengo dos perros.
trīs;tres;Trīs un divi ir pieci.;Tres y dos son cinco.
četri;cuatro;Pulkstenis ir četri.;Son las cuatro.
pieci;cinco;Es dzeru piecas tases kafijas.;Tomo cinco tazas de café.
seši;seis;Sešas dienas nedēļā.;Seis días a la semana.
septiņi;siete;Nedēļā ir septiņas dienas.;Una semana tiene siete días.
astoņi;ocho;Astoņi cilvēki gaida.;Ocho personas esperan.
deviņi;nueve;Deviņi rīta.;Las nueve de la mañana.
desmit;diez;Man ir desmit eiro.;Tengo diez euros.
šodien;hoy;Šodien ir pirmdiena.;Hoy es lunes.
rīt;mañana (adv.);Rīt es nestrādāšu.;Mañana no trabajaré.
vakar;ayer;Vakar bija silti.;Ayer hizo calor.
tagad;ahora;Tagad es esmu mājās.;Ahora estoy en casa.
ļoti;muy;Tas ir ļoti labi.;Eso está muy bien.
mazliet;un poco;Es runāju mazliet latviski.;Hablo un poco de letón.
arī;también;Es arī esmu students.;Yo también soy estudiante.
bet;pero;Es gribu, bet nevaru.;Quiero, pero no puedo.
un;y;Māte un tēvs ir mājās.;Mamá y papá están en casa.
vai;o / acaso (pregunta);Vai tu nāc?;¿Vienes?
kas;qué / quién;Kas tas ir?;¿Qué es eso?
kur;dónde;Kur tu dzīvo?;¿Dónde vives?
kad;cuándo;Kad tu nāksi?;¿Cuándo vendrás?
kāpēc;por qué;Kāpēc tu raudi?;¿Por qué lloras?
cik;cuánto;Cik tas maksā?;¿Cuánto cuesta eso?
